width_mm,height_mm,depth_mm,mount_panel,din_inclined,cable_entries,breakers_le63,load_switches,contactors,rcd,freq_converters,soft_starters,power_supplies,phase_relays,relays,fans,thermostats,fuse_holders,signal_lamps,analog_4_20mA,interfaces_count,terminals,ip_rating,plc_type,hmi_type,baseline_hours,actual_hours
2000,800,600,1,1,15,12,0,3,2,7,0,1,1,11,1,1,1,4,10,3,92,IP54,Релейное,Нет,27.72,28.93
600,400,250,1,1,3,6,0,1,2,1,0,1,0,1,0,0,0,2,0,0,37,IP65,Нет,Нет,8.57,8.68
2000,800,600,1,0,8,8,1,5,2,0,1,0,0,6,0,0,5,3,0,0,68,IP21,Нет,"До 7""",13.66,14.63
800,600,300,1,0,11,6,0,2,1,2,0,1,1,2,0,0,2,4,11,3,66,IP54,Модульный ПЛК,"До 7""",21.92,24.93
1000,800,300,1,0,12,11,1,7,2,2,0,1,1,1,0,0,0,3,0,0,87,IP65,Нет,"Свыше 7""",19.55,18.07
400,300,200,1,1,16,9,0,7,0,1,0,1,0,6,0,0,6,5,9,1,79,IP21,Компактный ПЛК,"До 7""",21.14,22.59
1200,1000,400,1,0,10,10,1,6,0,0,0,1,1,7,1,1,0,5,1,3,86,IP66,Релейное,Нет,17.09,18.18
1000,800,300,1,0,5,3,1,2,2,0,0,1,1,2,0,0,0,0,5,3,38,IP21,Компактный ПЛК,Нет,10.85,10.11
400,300,200,1,0,12,9,1,8,2,0,0,1,0,0,2,1,5,5,0,0,57,IP65,Нет,Нет,13.22,13.56
400,300,200,1,1,10,5,1,2,2,0,0,1,0,0,2,1,6,5,11,3,44,IP65,Компактный ПЛК,"До 7""",17.21,20.02
1000,800,300,1,0,6,6,1,4,0,0,4,0,1,5,1,1,4,0,0,2,43,IP21,Модульный ПЛК,"До 7""",13.31,13.6
600,400,250,1,0,8,7,1,3,1,2,0,1,0,5,1,1,4,4,4,3,57,IP54,Компактный ПЛК,Нет,18.32,18.3
600,400,250,1,0,12,10,1,0,0,5,0,1,1,3,0,0,4,3,8,2,81,IP54,Компактный ПЛК,"До 7""",23.02,26.42
1200,1000,400,1,1,7,9,0,7,1,0,0,1,0,2,2,1,0,0,0,0,55,IP66,Нет,"До 7""",12.74,14.84
400,300,200,1,0,17,12,0,8,0,0,0,1,0,7,2,1,7,0,11,3,131,IP54,Компактный ПЛК,Нет,25.07,26.17
800,600,300,1,1,8,5,0,2,2,0,0,1,0,3,2,1,4,2,10,3,58,IP21,Релейное,Нет,16.01,16.83
1000,800,300,1,0,14,8,0,3,0,2,0,1,1,2,0,0,3,4,8,2,71,IP54,Компактный ПЛК,Нет,20.3,20.98
800,800,300,1,0,7,6,1,4,1,0,0,1,1,3,2,1,7,3,0,0,42,IP66,Нет,Нет,11.03,11.56
600,600,250,1,0,11,8,1,4,2,2,0,1,0,4,0,0,5,1,11,1,93,IP65,Компактный ПЛК,"Свыше 7""",24.41,27.37
1000,800,300,1,0,12,7,0,0,0,5,0,1,1,0,0,0,3,1,11,2,60,IP54,Релейное,"До 7""",20.82,22.83
400,300,200,1,1,10,11,1,6,0,3,0,1,0,9,0,0,0,5,2,2,95,IP65,Компактный ПЛК,"Свыше 7""",23.21,22.06
1200,1000,400,1,0,8,8,1,1,2,2,0,1,1,4,0,0,1,4,1,2,66,IP66,Релейное,"До 7""",17.94,19.9
800,600,300,1,0,11,6,1,1,1,0,0,1,1,1,1,1,4,0,10,2,55,IP54,Компактный ПЛК,"До 7""",15.91,16.82
2000,800,600,1,0,7,7,1,2,1,1,0,1,1,4,2,1,1,0,0,2,57,IP54,Модульный ПЛК,Нет,12.84,14.73
1200,1000,400,1,0,4,4,0,3,0,0,0,1,0,0,0,0,3,0,0,1,28,IP21,Модульный ПЛК,Нет,7.36,7.78
800,600,300,1,0,6,6,0,3,0,3,0,1,1,3,1,1,3,5,0,0,47,IP65,Нет,"До 7""",15.06,14.31
600,600,250,1,1,4,4,0,3,0,1,0,1,1,1,0,0,1,0,0,0,41,IP65,Нет,Нет,8.52,7.85
800,600,300,1,0,11,6,0,3,2,1,0,1,0,4,0,0,2,1,11,2,89,IP65,Модульный ПЛК,"До 7""",20.39,22.0
1200,1000,400,1,1,7,4,0,3,1,1,0,1,0,2,0,0,2,4,1,2,31,IP21,Релейное,"Свыше 7""",11.25,11.29
800,600,300,1,1,6,4,0,2,2,1,0,1,1,0,2,1,5,0,4,2,43,IP54,Компактный ПЛК,Нет,12.59,13.25
800,800,300,1,0,12,9,1,3,1,4,0,0,1,2,0,0,7,0,5,2,55,IP65,Компактный ПЛК,"До 7""",19.38,19.64
600,400,250,1,0,12,4,1,2,1,1,0,0,1,5,0,0,0,4,11,2,51,IP66,Компактный ПЛК,"До 7""",17.82,19.71
1200,1000,400,1,1,9,7,0,2,2,3,0,1,1,4,0,0,3,2,6,2,53,IP54,Компактный ПЛК,"Свыше 7""",19.5,20.85
600,600,250,0,0,5,2,1,0,1,0,0,0,1,3,2,1,1,2,6,1,33,IP54,Компактный ПЛК,Нет,10.11,9.16
1200,1000,400,1,1,8,6,0,4,1,2,0,0,1,7,2,1,2,1,0,0,62,IP66,Нет,"До 7""",16.93,18.08
1000,800,300,1,0,7,7,0,1,0,2,0,1,1,4,0,0,0,1,0,0,55,IP54,Нет,Нет,12.98,12.59
800,800,300,1,1,11,8,0,6,0,0,0,1,0,2,0,0,0,4,5,2,74,IP54,Компактный ПЛК,"До 7""",16.49,16.58
600,400,250,1,0,12,10,1,2,0,7,0,0,1,4,0,0,0,2,7,1,95,IP54,Релейное,"До 7""",23.81,23.95
1000,800,300,1,1,11,10,0,3,2,3,0,1,0,6,2,1,2,3,0,0,63,IP65,Нет,"Свыше 7""",18.31,18.0
800,600,300,1,0,7,8,0,5,0,0,0,1,1,5,0,0,2,3,2,2,68,IP65,Компактный ПЛК,"До 7""",14.5,14.12
2000,800,600,1,0,14,11,0,6,2,3,0,1,1,6,0,0,3,1,7,2,81,IP65,Релейное,Нет,22.31,34.46
1200,1000,400,0,0,10,10,1,6,0,1,0,1,1,1,1,1,5,5,0,0,75,IP54,Нет,"До 7""",15.2,15.89
800,800,300,1,0,11,4,0,3,1,0,0,1,1,4,0,0,6,5,8,2,61,IP65,Релейное,"До 7""",16.07,17.11
2000,800,600,1,1,16,10,0,9,1,0,0,1,1,5,1,1,2,2,7,2,119,IP65,Релейное,Нет,21.91,22.54
1200,1000,400,1,0,8,6,0,2,0,3,0,1,1,1,0,0,7,1,0,0,45,IP54,Нет,Нет,13.0,12.12
800,600,300,1,0,12,8,1,6,2,1,0,0,0,5,0,0,0,4,8,1,83,IP54,Модульный ПЛК,Нет,19.22,20.05
600,400,250,1,0,7,7,0,5,2,0,0,0,1,1,0,0,7,0,0,0,42,IP54,Нет,"До 7""",9.96,9.84
400,300,200,1,0,8,8,1,3,2,0,2,1,0,3,2,1,3,2,3,3,62,IP21,Компактный ПЛК,Нет,15.2,13.72
600,400,250,1,0,12,7,1,3,0,4,0,0,1,3,0,0,3,5,4,3,51,IP21,Модульный ПЛК,"Свыше 7""",19.73,20.15
1200,1000,400,1,0,9,6,1,1,2,1,0,1,1,3,1,1,6,0,9,3,60,IP21,Компактный ПЛК,Нет,16.73,26.63
1200,1000,400,1,0,11,11,0,6,1,0,0,0,1,8,1,1,3,3,0,0,76,IP21,Нет,"До 7""",14.99,16.0
800,800,300,1,0,8,8,0,1,0,5,0,1,0,8,0,0,5,0,0,0,63,IP21,Нет,Нет,15.71,16.69
2000,800,600,1,0,6,4,0,2,0,1,0,1,1,2,0,0,3,3,5,3,45,IP54,Модульный ПЛК,Нет,13.06,14.12
800,600,300,1,0,5,4,0,2,1,1,0,0,1,1,2,1,2,2,3,2,38,IP54,Компактный ПЛК,"До 7""",12.01,13.1
1200,1000,400,1,0,9,9,0,2,0,3,0,0,1,4,0,0,7,0,1,3,63,IP54,Модульный ПЛК,Нет,17.02,20.32
1000,800,300,1,0,6,6,0,3,1,0,0,1,0,5,2,1,4,0,0,0,51,IP54,Нет,"До 7""",10.68,10.33
2000,800,600,1,0,15,11,1,2,1,8,0,1,0,5,0,0,3,5,4,3,90,IP21,Релейное,Нет,23.89,24.04
400,300,200,1,0,9,10,0,5,1,4,2,1,0,1,0,0,7,1,0,0,61,IP65,Нет,Нет,17.02,17.35
400,300,200,1,1,7,5,0,3,0,0,0,1,0,2,0,0,7,2,0,0,37,IP65,Нет,"До 7""",9.23,8.66
400,300,200,1,0,13,13,0,9,1,1,6,1,0,8,1,1,1,5,6,1,144,IP54,Релейное,Нет,27.44,23.88
600,600,250,1,0,10,9,0,6,1,0,5,0,0,8,2,1,3,2,2,2,67,IP65,Релейное,Нет,16.84,16.14
400,300,200,1,0,2,3,0,2,2,0,0,1,0,0,0,0,7,0,0,0,19,IP54,Нет,Нет,5.65,5.84
1200,1000,400,1,0,12,12,0,5,0,5,0,1,1,4,2,1,7,5,4,2,81,IP66,Компактный ПЛК,"До 7""",24.57,27.09
2000,800,600,1,1,9,7,1,1,1,3,0,1,1,3,0,0,3,3,5,3,48,IP21,Релейное,Нет,17.43,18.8
400,300,200,1,0,15,12,0,4,2,6,0,1,0,5,0,0,5,1,4,3,82,IP65,Компактный ПЛК,"До 7""",23.5,21.62
600,600,250,1,0,6,8,1,1,2,3,1,1,1,1,0,0,6,0,0,0,45,IP21,Нет,Нет,13.84,13.29
800,600,300,1,0,12,9,0,5,1,4,0,1,1,9,0,0,4,4,5,3,78,IP54,Компактный ПЛК,Нет,22.31,22.5
400,300,200,1,0,11,11,1,3,0,7,0,1,0,10,0,0,0,5,0,3,102,IP21,Компактный ПЛК,"До 7""",23.86,22.54
800,600,300,1,1,12,9,0,6,1,1,0,1,1,7,2,1,1,4,8,3,112,IP54,Компактный ПЛК,"Свыше 7""",24.05,25.28
600,400,250,1,0,8,5,1,3,0,2,0,1,0,4,0,0,5,1,0,0,40,IP21,Нет,"До 7""",13.28,12.54
600,600,250,1,1,10,13,1,9,2,0,0,1,0,3,2,1,6,5,0,0,118,IP54,Нет,"До 7""",20.13,19.5
1000,800,300,1,0,14,6,1,2,1,2,0,1,0,3,0,0,5,0,11,1,59,IP21,Релейное,Нет,19.36,22.22
600,400,250,1,0,5,3,0,0,2,0,0,1,1,0,2,1,0,1,0,0,18,IP54,Нет,"Свыше 7""",6.89,6.63
1000,800,300,1,0,15,11,0,9,0,0,0,1,1,9,0,0,2,0,7,1,138,IP66,Компактный ПЛК,Нет,23.45,22.86
800,600,300,1,0,14,9,1,9,0,0,0,1,1,3,2,1,6,4,9,3,105,IP54,Модульный ПЛК,Нет,22.71,20.79
2000,800,600,1,0,16,11,0,8,0,0,0,1,1,10,0,0,2,3,9,2,106,IP65,Релейное,"Свыше 7""",22.74,24.16
600,400,250,1,0,10,9,1,3,1,3,0,1,0,0,2,1,3,2,0,0,47,IP54,Нет,"До 7""",15.48,14.54
800,600,300,1,0,13,9,1,8,2,0,0,1,0,4,0,0,0,2,3,1,99,IP54,Релейное,"До 7""",17.97,17.09
2000,800,600,1,0,6,4,0,1,0,0,0,1,1,0,0,0,0,0,1,1,30,IP21,Компактный ПЛК,"До 7""",8.01,7.45
1200,1000,400,1,0,9,7,0,4,0,1,1,1,1,6,0,0,5,5,0,0,55,IP65,Нет,"До 7""",13.45,13.98
600,400,250,1,0,12,6,1,3,0,1,0,1,1,1,2,1,6,2,11,1,64,IP65,Релейное,Нет,17.66,18.65
2000,800,600,1,1,15,11,0,6,1,4,0,1,1,7,0,0,5,2,6,2,120,IP66,Модульный ПЛК,"До 7""",28.18,41.87
2000,800,600,1,0,6,5,1,3,2,0,3,1,1,6,0,0,2,2,2,3,53,IP54,Компактный ПЛК,Нет,13.71,13.33
400,300,200,0,0,6,8,1,2,1,1,0,0,0,2,0,0,2,1,2,1,53,IP66,Компактный ПЛК,"До 7""",12.67,13.53
600,600,250,1,0,2,2,1,1,1,0,0,1,0,2,1,1,2,3,0,0,21,IP54,Нет,"Свыше 7""",7.36,7.21
1000,800,300,1,1,11,6,1,2,2,2,0,1,0,4,2,1,4,1,5,2,67,IP21,Релейное,Нет,18.81,18.33
1000,800,300,1,0,10,13,1,3,2,7,0,1,1,5,2,1,1,4,0,2,78,IP54,Релейное,"До 7""",22.3,20.29
800,600,300,1,0,11,8,1,0,2,6,0,1,1,2,1,1,6,3,0,0,33,IP54,Нет,"Свыше 7""",16.14,16.26
600,400,250,1,0,4,4,1,2,0,0,0,1,1,0,2,1,5,3,0,0,23,IP66,Нет,"До 7""",8.61,8.82
2000,800,600,1,0,14,11,1,8,2,0,0,0,0,5,2,1,6,3,4,2,116,IP21,Модульный ПЛК,Нет,21.35,20.83
800,600,300,1,1,12,11,1,10,2,0,0,1,0,1,0,0,2,5,3,2,75,IP21,Релейное,"Свыше 7""",18.11,17.6
400,300,200,1,0,5,5,1,1,1,1,0,1,0,2,2,1,4,1,4,2,37,IP54,Компактный ПЛК,Нет,11.94,11.95
400,300,200,1,0,15,12,1,6,2,2,0,1,0,1,0,0,0,5,7,3,98,IP54,Компактный ПЛК,Нет,23.89,22.66
400,300,200,1,0,4,5,1,0,0,0,0,1,0,0,1,1,0,2,0,1,21,IP54,Модульный ПЛК,"До 7""",7.92,7.67
2000,800,600,1,0,4,5,1,0,2,0,0,0,1,2,1,1,6,5,4,1,36,IP66,Компактный ПЛК,"Свыше 7""",12.78,12.73
800,600,300,1,0,9,4,0,1,2,0,0,1,0,2,0,0,2,1,8,1,47,IP54,Модульный ПЛК,Нет,12.79,13.43
2000,800,600,1,1,12,12,1,10,1,0,0,1,1,4,0,0,1,2,0,0,85,IP65,Нет,"Свыше 7""",16.7,16.97
600,400,250,1,0,11,7,1,2,1,1,0,1,1,1,1,1,6,3,11,3,61,IP54,Модульный ПЛК,"До 7""",19.45,21.06
400,300,200,1,1,12,12,1,8,0,0,0,1,0,10,2,1,2,3,0,0,117,IP54,Нет,"До 7""",19.55,18.61
1200,1000,400,1,0,14,10,0,6,2,1,0,0,1,2,1,1,5,3,4,2,66,IP54,Релейное,Нет,16.54,18.38
2000,800,600,1,0,11,8,0,6,2,0,0,1,0,5,0,0,2,0,0,0,76,IP65,Нет,"До 7""",13.34,13.77
600,600,250,1,0,10,12,1,6,0,1,4,1,0,2,1,1,3,0,0,0,78,IP66,Нет,"Свыше 7""",17.81,19.21
2000,800,600,1,1,7,9,1,6,2,0,0,1,0,3,1,1,5,3,0,0,63,IP54,Нет,"До 7""",13.75,13.47
600,600,250,1,0,12,11,0,1,2,7,0,1,1,0,1,1,1,4,3,1,62,IP54,Компактный ПЛК,Нет,19.88,20.94
1000,800,300,1,0,9,8,1,7,2,0,0,1,1,4,0,0,0,0,0,3,82,IP21,Компактный ПЛК,"До 7""",15.37,14.35
400,300,200,1,1,4,2,0,2,2,0,0,1,0,2,2,1,2,4,0,0,29,IP54,Нет,Нет,7.85,8.34
1000,800,300,1,0,12,4,1,2,2,0,0,1,0,3,0,0,2,4,10,2,51,IP54,Компактный ПЛК,"До 7""",15.96,17.64
600,600,250,1,1,10,10,0,6,0,1,5,1,0,8,2,1,0,0,0,0,103,IP54,Нет,Нет,18.77,16.22
400,300,200,1,0,7,9,1,3,2,2,3,1,0,7,1,1,2,1,0,0,61,IP54,Нет,"До 7""",17.77,17.1
800,600,300,1,1,5,6,1,3,1,1,0,1,1,1,0,0,3,0,3,2,58,IP54,Компактный ПЛК,Нет,13.19,13.46
1200,1000,400,1,0,7,6,0,3,1,2,0,0,1,0,1,1,3,4,5,1,39,IP54,Компактный ПЛК,Нет,15.64,16.31
400,300,200,1,0,2,5,0,1,1,0,0,1,0,0,0,0,2,2,0,0,31,IP65,Нет,"До 7""",7.25,6.84
600,600,250,1,0,14,12,1,4,2,6,0,1,1,11,1,1,0,2,2,3,79,IP66,Компактный ПЛК,Нет,23.61,23.65
1200,1000,400,0,1,5,4,1,0,2,0,0,1,1,0,2,1,7,4,2,2,26,IP65,Модульный ПЛК,"До 7""",10.9,10.03
800,600,300,1,0,9,8,0,2,1,2,0,1,1,4,0,0,4,5,6,1,68,IP54,Компактный ПЛК,Нет,19.11,20.5
800,600,300,1,0,6,4,0,2,1,0,0,1,0,1,0,0,2,3,9,1,43,IP65,Релейное,Нет,12.3,14.46
600,600,250,1,0,11,7,0,4,1,0,0,1,0,0,1,1,0,5,11,3,61,IP65,Модульный ПЛК,"До 7""",18.27,19.3
1200,1000,400,1,1,3,2,1,1,2,0,0,1,1,2,2,1,5,2,0,0,19,IP54,Нет,Нет,7.12,6.87
600,600,250,1,0,11,8,1,3,0,1,0,0,0,6,0,0,4,3,6,1,90,IP65,Компактный ПЛК,"До 7""",18.47,17.78
600,400,250,1,1,10,6,1,2,1,2,0,1,1,0,2,1,4,3,9,3,50,IP54,Компактный ПЛК,"До 7""",20.36,22.36
800,800,300,1,0,12,11,1,8,0,0,0,1,1,4,0,0,7,2,0,2,87,IP54,Компактный ПЛК,"До 7""",16.98,16.27
1200,1000,400,1,0,10,10,0,1,0,6,0,1,0,2,0,0,6,3,0,0,66,IP54,Нет,Нет,16.78,18.09
400,300,200,1,0,10,9,0,3,1,5,0,1,0,8,1,1,2,5,3,3,68,IP21,Компактный ПЛК,"До 7""",21.51,23.0
2000,800,600,1,0,7,8,1,4,0,0,0,1,1,2,2,1,1,5,0,2,57,IP66,Компактный ПЛК,"Свыше 7""",14.29,16.83
600,600,250,1,0,4,6,0,1,0,0,0,1,0,4,0,0,1,5,2,3,52,IP54,Модульный ПЛК,Нет,11.64,10.58
600,400,250,1,0,11,10,0,6,0,0,0,1,0,4,2,1,4,2,5,1,84,IP54,Компактный ПЛК,Нет,17.07,15.96
1200,1000,400,1,1,12,6,1,2,1,3,0,1,1,2,0,0,2,2,6,1,67,IP21,Модульный ПЛК,Нет,19.3,21.8
400,300,200,1,1,9,10,0,9,2,0,0,1,0,6,0,0,2,1,0,0,109,IP54,Нет,"До 7""",17.3,17.4
800,800,300,1,0,7,6,0,4,2,0,1,1,1,1,0,0,6,4,0,0,54,IP54,Нет,Нет,11.0,11.82
400,300,200,1,0,14,9,0,4,0,3,0,1,0,2,0,0,6,2,9,1,79,IP65,Компактный ПЛК,Нет,21.62,20.76
2000,800,600,0,1,9,9,0,7,1,0,0,1,0,4,2,1,2,0,0,1,86,IP65,Модульный ПЛК,Нет,14.96,15.4
800,800,300,1,0,11,11,1,7,0,0,0,1,1,5,0,0,1,2,0,0,92,IP65,Нет,"До 7""",15.61,16.41
1000,800,300,1,1,6,8,1,5,2,0,0,1,0,2,0,0,3,3,0,1,54,IP54,Компактный ПЛК,Нет,11.98,11.88
400,300,200,1,0,5,5,0,1,2,0,0,1,0,2,0,0,2,4,0,0,42,IP54,Нет,"Свыше 7""",9.41,9.09
600,400,250,1,1,9,6,0,2,2,1,0,1,1,1,2,1,4,0,6,2,46,IP54,Компактный ПЛК,Нет,14.26,14.54
800,600,300,1,0,10,9,0,4,2,3,0,1,1,2,0,0,0,2,2,1,52,IP65,Релейное,"До 7""",16.97,16.16
400,300,200,1,0,6,5,0,2,2,0,0,1,0,0,1,1,3,1,0,0,27,IP21,Нет,Нет,7.15,6.62
600,400,250,1,0,8,9,0,6,1,0,3,1,0,4,1,1,7,2,2,1,91,IP21,Компактный ПЛК,Нет,17.52,16.75
2000,800,600,1,1,8,8,0,1,1,2,0,1,1,3,2,1,1,1,0,0,61,IP65,Нет,"До 7""",15.57,15.83
600,600,250,1,0,13,10,1,7,1,0,0,1,0,5,0,0,6,2,10,1,78,IP54,Релейное,Нет,18.89,18.93
1000,800,300,1,0,10,11,1,5,0,3,0,1,0,0,0,0,1,2,0,0,60,IP66,Нет,Нет,16.1,15.72
600,600,250,1,0,8,3,1,1,2,1,0,1,1,0,1,1,7,5,6,3,38,IP54,Компактный ПЛК,"До 7""",14.63,16.12
600,400,250,1,0,7,7,1,0,0,2,0,1,0,3,2,1,4,5,6,1,67,IP54,Компактный ПЛК,"До 7""",19.45,16.83
1200,1000,400,1,0,8,8,0,3,2,2,0,1,0,6,0,0,5,3,3,1,62,IP21,Компактный ПЛК,"Свыше 7""",18.65,17.63
600,400,250,1,0,13,8,0,4,1,3,0,1,1,3,1,1,1,0,11,3,69,IP66,Компактный ПЛК,"До 7""",23.59,25.84
600,600,250,1,0,15,12,0,10,2,0,0,0,1,9,0,0,0,4,5,2,98,IP54,Компактный ПЛК,"До 7""",21.04,20.94
2000,800,600,1,1,8,5,0,0,0,1,0,1,1,3,0,0,6,3,8,2,53,IP54,Модульный ПЛК,"Свыше 7""",16.33,20.18
2000,800,600,1,1,9,3,0,2,1,0,0,0,0,3,0,0,1,5,10,1,42,IP54,Модульный ПЛК,"До 7""",14.71,16.51
2000,800,600,1,0,4,2,1,2,1,0,0,1,1,1,0,0,2,4,3,1,31,IP65,Компактный ПЛК,"До 7""",10.1,9.91
600,600,250,1,0,7,6,1,0,0,2,0,1,1,3,0,0,3,1,0,0,41,IP21,Нет,Нет,11.9,11.73
800,600,300,1,1,3,5,0,0,0,0,0,1,0,1,0,0,1,5,0,0,30,IP21,Нет,Нет,6.91,6.54
400,300,200,0,0,9,9,0,9,2,0,0,1,0,1,0,0,5,1,0,0,78,IP66,Нет,Нет,13.42,14.01
1200,1000,400,1,1,8,8,0,6,1,1,0,1,1,9,1,1,0,5,0,1,69,IP21,Компактный ПЛК,"Свыше 7""",16.62,16.39
800,800,300,1,0,9,9,0,3,2,2,1,0,1,2,0,0,6,2,0,0,47,IP21,Нет,Нет,14.35,14.74
600,400,250,1,0,8,11,0,6,0,0,0,1,0,3,0,0,5,1,1,2,85,IP21,Компактный ПЛК,"До 7""",15.64,14.95
600,400,250,1,0,4,4,1,0,1,1,0,0,1,3,0,0,6,1,0,0,27,IP66,Нет,"До 7""",8.83,8.3
1200,1000,400,0,1,7,8,1,2,0,1,0,1,1,3,0,0,0,0,5,2,70,IP21,Релейное,Нет,14.31,14.16
600,400,250,1,1,10,11,1,9,1,0,0,1,1,1,1,1,0,1,0,0,88,IP65,Нет,Нет,15.04,15.24
400,300,200,1,1,13,10,0,2,2,4,0,1,0,8,1,1,1,5,10,3,102,IP54,Релейное,Нет,26.04,28.47
2000,800,600,1,0,6,4,0,1,1,0,0,1,1,0,2,1,2,1,0,1,27,IP65,Релейное,"До 7""",8.23,8.21
400,300,200,1,0,13,9,0,8,1,0,0,1,0,2,0,0,6,1,8,3,75,IP21,Компактный ПЛК,Нет,17.88,17.45
400,300,200,1,0,14,9,1,1,0,6,1,1,0,5,0,0,3,3,8,1,77,IP21,Компактный ПЛК,Нет,22.73,21.84
800,600,300,1,1,9,7,1,3,0,1,0,1,1,0,2,1,7,3,5,1,66,IP21,Модульный ПЛК,Нет,16.36,15.88
600,400,250,1,0,12,11,1,6,0,1,1,0,1,2,2,1,0,4,6,3,89,IP65,Компактный ПЛК,Нет,20.0,19.16
800,800,300,1,0,11,11,0,4,0,4,0,1,1,5,0,0,5,0,5,2,92,IP21,Модульный ПЛК,"Свыше 7""",23.34,23.59
2000,800,600,1,0,8,11,0,8,1,0,0,1,1,2,1,1,2,2,0,3,63,IP54,Компактный ПЛК,Нет,14.06,15.23
1200,1000,400,1,0,8,7,0,0,0,3,0,0,0,0,0,0,7,0,0,2,27,IP54,Компактный ПЛК,"До 7""",12.56,11.62
2000,800,600,1,0,16,12,0,2,1,6,0,1,1,4,0,0,7,1,11,2,109,IP54,Компактный ПЛК,Нет,27.07,28.07
800,600,300,1,0,12,11,0,4,1,4,0,1,0,6,0,0,6,2,4,3,65,IP21,Модульный ПЛК,Нет,20.68,25.99
800,800,300,1,0,13,9,0,5,2,0,0,0,0,2,0,0,6,1,6,2,90,IP66,Компактный ПЛК,"До 7""",18.69,18.52
600,400,250,1,0,12,13,0,8,0,0,0,1,0,5,0,0,1,4,0,0,114,IP21,Нет,Нет,17.04,14.94
2000,800,600,1,0,8,5,1,2,1,2,0,1,1,3,1,1,6,5,5,2,55,IP66,Модульный ПЛК,"До 7""",19.79,24.44
600,400,250,1,0,7,4,1,1,2,0,0,1,1,4,1,1,4,2,8,3,41,IP65,Компактный ПЛК,Нет,13.76,15.34
800,600,300,1,0,13,11,0,2,2,7,0,1,1,0,1,1,3,5,3,3,63,IP65,Модульный ПЛК,"Свыше 7""",22.56,25.32
600,600,250,1,0,15,8,1,6,1,1,0,1,0,3,0,0,4,4,10,1,105,IP21,Релейное,Нет,21.39,20.82
800,800,300,1,1,8,5,0,3,0,0,0,0,1,0,1,1,4,1,0,1,37,IP65,Компактный ПЛК,Нет,9.03,8.66
600,600,250,1,1,11,9,1,8,2,0,0,1,1,8,1,1,6,1,0,0,82,IP54,Нет,Нет,15.6,15.42
600,600,250,1,0,7,4,0,2,1,2,0,1,1,0,2,1,0,2,4,1,39,IP54,Компактный ПЛК,"Свыше 7""",15.64,15.3
600,600,250,1,0,12,10,0,4,1,3,2,1,1,3,2,1,4,1,9,2,66,IP66,Релейное,Нет,22.98,25.56
600,400,250,1,0,12,7,1,2,2,1,0,0,0,4,0,0,6,5,10,2,86,IP65,Компактный ПЛК,"До 7""",20.45,19.81
800,800,300,1,0,7,6,1,5,2,0,0,0,0,0,0,0,5,3,0,0,41,IP66,Нет,"Свыше 7""",10.92,11.76
1200,1000,400,1,1,6,2,0,2,0,0,0,0,1,1,2,1,0,4,6,2,33,IP21,Компактный ПЛК,"До 7""",11.96,12.3
400,300,200,1,0,18,11,1,6,2,4,0,1,0,6,0,0,5,3,11,2,122,IP21,Модульный ПЛК,"До 7""",29.85,31.97
600,600,250,1,0,9,5,0,1,0,0,0,0,0,1,2,1,7,2,8,1,38,IP65,Компактный ПЛК,Нет,12.37,12.79
